"","agegroup","beverage"
"1","Young_adult","Milk"
"2","Senior","Water"
"3","Young_adult","Soda"
"4","Teen","Milk"
"5","Senior","Soda"
"6","Senior","Water"
"7","Adult","Soda"
"8","Teen","Milk"
"9","Teen","Soda"
"10","Adult","Water"
"11","Teen","Soda"
"12","Adult","Water"
"13","Adult","Milk"
"14","Adult","Water"
"15","Adult","Soda"
"16","Senior","Soda"
"17","Adult","Soda"
"18","Senior","Water"
"19","Young_adult","Milk"
"20","Young_adult","Soda"
"21","Adult","Water"
"22","Young_adult","Soda"
"23","Young_adult","Soda"
"24","Young_adult","Soda"
"25","Adult","Water"
"26","Teen","Soda"
"27","Adult","Milk"
"28","Young_adult","Milk"
"29","Adult","Water"
"30","Teen","Milk"
"31","Teen","Soda"
"32","Adult","Soda"
"33","Teen","Soda"
"34","Adult","Water"
"35","Adult","Water"
"36","Senior","Water"
"37","Young_adult","Milk"
"38","Adult","Water"
"39","Senior","Milk"
"40","Adult","Soda"
"41","Teen","Soda"
"42","Senior","Milk"
"43","Teen","Water"
"44","Young_adult","Soda"
"45","Adult","Water"
"46","Teen","Milk"
"47","Teen","Water"
"48","Teen","Milk"
"49","Senior","Water"
"50","Teen","Soda"
"51","Adult","Water"
"52","Teen","Milk"
"53","Young_adult","Soda"
"54","Teen","Soda"
"55","Young_adult","Soda"
"56","Teen","Milk"
"57","Young_adult","Soda"
"58","Teen","Soda"
"59","Senior","Soda"
"60","Young_adult","Soda"
"61","Teen","Soda"
"62","Adult","Milk"
"63","Adult","Water"
"64","Young_adult","Soda"
"65","Adult","Water"
"66","Adult","Water"
"67","Young_adult","Soda"
"68","Teen","Soda"
"69","Adult","Soda"
"70","Adult","Milk"
"71","Teen","Milk"
"72","Senior","Milk"
"73","Adult","Soda"
"74","Adult","Soda"
"75","Young_adult","Water"
"76","Senior","Water"
"77","Teen","Soda"
"78","Teen","Milk"
"79","Senior","Soda"
"80","Young_adult","Water"
"81","Teen","Milk"
"82","Young_adult","Soda"
"83","Adult","Soda"
"84","Teen","Soda"
"85","Young_adult","Soda"
"86","Adult","Soda"
"87","Adult","Water"
"88","Teen","Milk"
"89","Adult","Water"
"90","Adult","Water"
"91","Young_adult","Soda"
"92","Young_adult","Water"
"93","Teen","Milk"
"94","Senior","Milk"
"95","Young_adult","Soda"
"96","Teen","Soda"
"97","Young_adult","Water"
"98","Teen","Soda"
"99","Young_adult","Water"
"100","Senior","Water"
"101","Young_adult","Soda"
"102","Teen","Soda"
"103","Senior","Soda"
"104","Senior","Milk"
"105","Teen","Water"
"106","Adult","Soda"
"107","Adult","Water"
"108","Adult","Water"
"109","Senior","Milk"
"110","Senior","Milk"
"111","Young_adult","Milk"
"112","Adult","Soda"
"113","Adult","Water"
"114","Senior","Water"
"115","Young_adult","Soda"
"116","Teen","Soda"
"117","Adult","Water"
"118","Young_adult","Milk"
"119","Senior","Water"
"120","Young_adult","Soda"
"121","Adult","Soda"
"122","Adult","Water"
"123","Teen","Milk"
"124","Teen","Water"
"125","Young_adult","Soda"
"126","Adult","Soda"
"127","Adult","Soda"
"128","Senior","Milk"
"129","Adult","Soda"
"130","Young_adult","Water"
"131","Young_adult","Soda"
"132","Young_adult","Milk"
"133","Adult","Water"
"134","Adult","Soda"
"135","Young_adult","Soda"
"136","Young_adult","Milk"
"137","Young_adult","Milk"
"138","Adult","Water"
